"Mensaje,""Etiqueta"""
"¡Dinero gratis! Haz clic aquí para reclamar tu premio.,""Spam"""
"Hola, me gustaría programar una reunión contigo.,""No Spam"""
"¡Gana un iPhone gratis! Solo haz clic en este enlace.,""Spam"""
"Hola, estoy interesado en tu producto.,""No Spam"""
"Gana $10,000 desde casa! Fácil y rápido.,""Spam"""
"Hola, me gustaría discutir una oportunidad de negocio.,""No Spam"""
"URGENTE: Tu cuenta será cerrada si no haces clic aquí.,""Spam"""
"Me gustaría solicitar una cotización para tus servicios.,""No Spam"""
"¡Enriquécete rápidamente con nuestro sistema probado!,""Spam"""
"Hola, me comunico por una oportunidad de trabajo.,""No Spam"""
"Haz clic aquí para ver solteros sexys en tu área.,""Spam"""
"Estoy interesado en aprender más sobre tu empresa.,""No Spam"""
"¡Gana dinero rápido con nuestro sistema fácil!,""Spam"""
"Hola, me gustaría programar una llamada para discutir más a fondo.,""No Spam"""
"URGENTE: Tu paquete ha sido retrasado. Haz clic aquí.,""Spam"""
"Me gustaría solicitar más información sobre tu producto.,""No Spam"""
"¡Gana un viaje gratis a Hawái! Solo ingresa tu correo electrónico.,""Spam"""
"Hola, estoy interesado en tus servicios.,""No Spam"""
"Obtén un informe de crédito gratis! Solo haz clic aquí.,""Spam"""
"Me gustaría discutir una posible asociación.,""No Spam"""
"¡Gana dinero desde casa con nuestro sistema probado!,""Spam"""
"Hola, me gustaría solicitar una demostración de tu producto.,""No Spam"""
"URGENTE: Tu cuenta ha sido comprometida. Haz clic aquí.,""Spam"""
"Estoy interesado en aprender más sobre tus servicios.,""No Spam"""
"Haz clic aquí para ver ofertas increíbles en productos!,""Spam"""
"Hola, me gustaría programar una reunión para discutir más a fondo.,""No Spam"""
"¡Gana dinero rápido con nuestro sistema fácil!,""Spam"""
"Me gustaría solicitar más información sobre tu empresa.,""No Spam"""
